<albany:FastEthernet0/0, buffalo:FastEthernet0/0>
<stuttgart:FastEthernet0/0, mannheim:FastEthernet0/1>
<stuttgart:FastEthernet0/1, munich:FastEthernet0/1>
<stuttgart:FastEthernet1/0, zurich:FastEthernet1/0>
<tallinn:FastEthernet0/0, helsinki:FastEthernet0/1>
<tampa:FastEthernet0/0, miami:FastEthernet1/0>
<tampa:FastEthernet0/1, newttorleans:FastEthernet1/0>
<tampa:FastEthernet1/0, orlando:FastEthernet1/0>
<timisoara:FastEthernet0/0, budapest:FastEthernet0/1>
<timisoara:FastEthernet0/1, nodeid176:FastEthernet1/0>
<toledo:FastEthernet0/0, cleveland:FastEthernet2/1>
<toledo:FastEthernet0/1, detroit:FastEthernet0/0>
<toledo:FastEthernet1/0, southttbend:FastEthernet1/0>
<toronto:FastEthernet0/0, hamilton:FastEthernet0/1>
<toronto:FastEthernet0/1, montreal:FastEthernet1/1>
<toulouse:FastEthernet0/0, bordeaux:FastEthernet1/0>
<toulouse:FastEthernet0/1, nodeid171:FastEthernet1/0>
<tours:FastEthernet0/0, paris:FastEthernet3/1>
<tours:FastEthernet0/1, poiters:FastEthernet1/0>
<tulsa:FastEthernet0/0, dallas:FastEthernet1/0>
<tulsa:FastEthernet0/1, kansasttcity:FastEthernet1/0>
<tulsa:FastEthernet1/0, memphis:FastEthernet1/0>
<tulsa:FastEthernet1/1, oklahomattcity:FastEthernet0/1>
<valencia:FastEthernet0/0, alicante:FastEthernet0/1>
<valencia:FastEthernet0/1, barcelona:FastEthernet0/1>
<valencia:FastEthernet1/0, madrid:FastEthernet0/1>
<varna:FastEthernet0/0, balchik:FastEthernet0/1>
<varna:FastEthernet0/1, burgas:FastEthernet0/1>
<vienna:FastEthernet0/0, bratislava:FastEthernet2/0>
<vienna:FastEthernet0/1, munich:FastEthernet1/0>
<vienna:FastEthernet1/0, nodeid174:FastEthernet1/0>
<vigo:FastEthernet0/0, leon:FastEthernet0/1>
<vigo:FastEthernet0/1, porto:FastEthernet0/1>
<warsaw:FastEthernet0/0, krakow:FastEthernet0/1>
<washington:FastEthernet0/0, baltimore:FastEthernet0/1>
<washington:FastEthernet0/1, harrisburg:FastEthernet1/0>
<washington:FastEthernet1/0, herndon:FastEthernet0/0>
<washington:FastEthernet1/1, nodeid148:FastEthernet1/0>
<washington:FastEthernet2/0, paris:FastEthernet4/0>
<whitettplains:FastEthernet0/0, stamford:FastEthernet1/0>
<worcester:FastEthernet0/0, albany:FastEthernet1/1>
<worcester:FastEthernet0/1, boston:FastEthernet1/1>
<zagreb:FastEthernet0/0, ljubljana:FastEthernet0/1>
<zaragoza:FastEthernet0/0, logrono:FastEthernet0/1>
<zurich:FastEthernet0/0, basel:FastEthernet0/1>
<zurich:FastEthernet0/1, milan:FastEthernet1/0>
<zurich:FastEthernet1/0, stuttgart:FastEthernet1/0>
